CGATS.17
FORMAT_VERSION	2
MEASUREMENT_SOURCE	Simulated sRGB data
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS	602
BEGIN_DATA
133	25	25	0	0.748510	0.901942	0.134664
134	25	25	255	18.796588	8.121174	95.187879
135	25	51	0	1.584669	2.574260	0.413383
136	25	51	255	19.632748	9.793492	95.466599
137	25	76	0	2.985222	5.375367	0.880235
138	25	76	255	21.033301	12.594599	95.933450
139	25	102	0	5.152057	9.709037	1.602513
140	25	102	255	23.200136	16.928269	96.655728
141	25	127	0	7.989934	15.384790	2.548472
142	25	127	255	26.038012	22.604022	97.601687
143	25	153	0	11.791628	22.988179	3.815703
144	25	153	255	29.839707	30.207410	98.868918
145	25	178	0	16.320592	32.046106	5.325358
146	25	178	255	34.368670	39.265338	100.378573
147	25	204	0	21.992814	43.390551	7.216099
148	25	204	255	40.040893	50.609783	102.269314
149	25	229	0	28.418978	56.242880	9.358153
150	25	229	255	46.467057	63.462111	104.411369
151	25	255	0	36.159328	71.723579	11.938270
152	25	255	25	36.334777	71.793759	12.862303
153	25	255	51	36.756805	71.962570	15.084984
154	25	255	76	37.463696	72.245326	18.807942
155	25	255	102	38.557346	72.682786	24.567831
156	25	255	127	39.989685	73.255722	32.111486
157	25	255	153	41.908485	74.023242	42.217165
158	25	255	178	44.194354	74.937589	54.256075
159	25	255	204	47.057251	76.082748	69.334000
160	25	255	229	50.300680	77.380120	86.416056
161	25	255	255	54.207407	78.942810	106.991485
162	51	0	0	1.365210	0.703936	0.063994
163	51	0	25	1.540659	0.774116	0.988027
164	51	0	51	1.962688	0.942927	3.210709
165	51	0	76	2.669578	1.225684	6.933666
166	51	0	102	3.763228	1.663144	12.693555
167	51	0	127	5.195568	2.236079	20.237210
168	51	0	153	7.114367	3.003599	30.342890
169	51	0	178	9.400236	3.917947	42.381799
170	51	0	204	12.263134	5.063106	57.459724
171	51	0	229	15.506562	6.360477	74.541781
172	51	0	255	19.413289	7.923168	95.117209
173	51	25	0	1.712826	1.399167	0.179866
174	51	25	255	19.760904	8.618399	95.233081
175	51	51	0	2.548985	3.071486	0.458586
176	51	51	255	20.597064	10.290717	95.511801
177	51	76	0	3.949538	5.872593	0.925437
178	51	76	255	21.997617	13.091824	95.978652
179	51	102	0	6.116373	10.206263	1.647715
180	51	102	255	24.164452	17.425494	96.700930
181	51	127	0	8.954250	15.882016	2.593674
182	51	127	255	27.002328	23.101247	97.646889
183	51	153	0	12.755944	23.485404	3.860906
184	51	153	255	30.804023	30.704636	98.914121
185	51	178	0	17.284908	32.543331	5.370560
186	51	178	255	35.332986	39.762563	100.423775
187	51	204	0	22.957130	43.887776	7.261301
188	51	204	255	41.005209	51.107008	102.314516
189	51	229	0	29.383294	56.740105	9.403356
190	51	229	255	47.431373	63.959337	104.456571
191	51	255	0	37.123644	72.220804	11.983472
192	51	255	25	37.299093	72.290984	12.907505
193	51	255	51	37.721121	72.459795	15.130187
194	51	255	76	38.428012	72.742552	18.853144
195	51	255	102	39.521662	73.180012	24.613033
196	51	255	127	40.954001	73.752947	32.156688
197	51	255	153	42.872801	74.520467	42.262368
198	51	255	178	45.158670	75.434815	54.301277
199	51	255	204	48.021567	76.579974	69.379202
200	51	255	229	51.264996	77.877345	86.461259
201	51	255	255	55.171723	79.440036	107.036687
202	76	0	0	2.980425	1.536781	0.139707
203	76	0	25	3.155874	1.606961	1.063740
204	76	0	51	3.577902	1.775772	3.286422
205	76	0	76	4.284793	2.058529	7.009379
206	76	0	102	5.378443	2.495989	12.769269
207	76	0	127	6.810782	3.068924	20.312923
208	76	0	153	8.729582	3.836444	30.418603
209	76	0	178	11.015451	4.750792	42.457512
210	76	0	204	13.878348	5.895951	57.535437
211	76	0	229	17.121776	7.193322	74.617494
212	76	0	255	21.028503	8.756013	95.192923
213	76	25	0	3.328040	2.232012	0.255579
214	76	25	255	21.376119	9.451244	95.308794
215	76	51	0	4.164199	3.904331	0.534299
216	76	51	255	22.212278	11.123562	95.587514
217	76	76	0	5.564753	6.705438	1.001150
218	76	76	255	23.612832	13.924669	96.054365
219	76	102	0	7.731588	11.039108	1.723428
220	76	102	255	25.779667	18.258339	96.776644
221	76	127	0	10.569464	16.714860	2.669387
222	76	127	255	28.617543	23.934092	97.722602
223	76	153	0	14.371159	24.318249	3.936619
224	76	153	255	32.419237	31.537481	98.989834
225	76	178	0	18.900122	33.376176	5.446273
226	76	178	255	36.948201	40.595408	100.499488
227	76	204	0	24.572345	44.720621	7.337014
228	76	204	255	42.620423	51.939853	102.390229
229	76	229	0	30.998509	57.572950	9.479069
230	76	229	255	49.046588	64.792182	104.532284
231	76	255	0	38.738859	73.053649	12.059185
232	76	255	25	38.914308	73.123829	12.983218
233	76	255	51	39.336336	73.292640	15.205900
234	76	255	76	40.043227	73.575397	18.928857
235	76	255	102	41.136877	74.012857	24.688747
236	76	255	127	42.569216	74.585792	32.232401
237	76	255	153	44.488016	75.353312	42.338081
238	76	255	178	46.773885	76.267660	54.376990
239	76	255	204	49.636782	77.412819	69.454915
240	76	255	229	52.880210	78.710190	86.536972
241	76	255	255	56.786937	80.272881	107.112401
242	102	0	0	5.479367	2.825299	0.256845
243	102	0	25	5.654817	2.895478	1.180878
244	102	0	51	6.076845	3.064290	3.403560
245	102	0	76	6.783735	3.347046	7.126517
246	102	0	102	7.877385	3.784506	12.886407
247	102	0	127	9.309725	4.357442	20.430061
248	102	0	153	11.228525	5.124962	30.535741
249	102	0	178	13.514394	6.039309	42.574650
250	102	0	204	16.377291	7.184468	57.652575
251	102	0	229	19.620719	8.481840	74.734632
252	102	0	255	23.527446	10.044530	95.310061
253	102	25	0	5.826983	3.520530	0.372717
254	102	25	255	23.875062	10.739761	95.425932
255	102	51	0	6.663142	5.192848	0.651437
256	102	51	255	24.711221	12.412080	95.704652
257	102	76	0	8.063696	7.993955	1.118288
258	102	76	255	26.111774	15.213187	96.171503
259	102	102	0	10.230530	12.327625	1.840566
260	102	102	255	28.278609	19.546857	96.893782
261	102	127	0	13.068407	18.003378	2.786525
262	102	127	255	31.116486	25.222609	97.839740
263	102	153	0	16.870101	25.606767	4.053757
264	102	153	255	34.918180	32.825998	99.106972
265	102	178	0	21.399065	34.664694	5.563411
266	102	178	255	39.447144	41.883925	100.616626
